country,region_scope,education_level,qualification,qualification_type,grade_year,age_range,duration,framework_level,institution_type,exam,admission_requirement,progression_to,official_term,common_terms,credit_requirement,verification,source,source_type,research_date,notes
India,"National + ~30 state boards",Upper secondary,Class 12 board certificate,school-leaving certificate,Grades 11-12,16-18,2 years,NCrF Level 4,"School; junior college; PU college",AISSCE (CBSE); ISC (CISCE); HSC/Intermediate/II PUC (state boards); NIOS,Class 10 completion,Bachelor's degree,Secondary Stage (upper half),"Class 12; 12th; +2; 10+2; senior secondary; higher secondary; HSC; Intermediate; II PUC",,confirmed,NCrF Report s.3.2.6,Tier1-framework,2026-08-21,"India's university-entrance qualification. Streams: Science (PCM/PCB/PCMB); Commerce; Humanities; Vocational."
India,National,Post-secondary technical,Polytechnic Diploma in Engineering,vocational diploma,,post-Class-10,3 years,,Polytechnic (state technical board),State technical board exams,Class 10,B.E./B.Tech. via lateral entry,Diploma in Engineering,"polytechnic diploma",,warn,AICTE/state boards (via secondary sources),Tier1-body-unverified,2026-08-21,Taken INSTEAD OF Classes 11-12. Lateral entry to B.Tech. year 2 is long-established practice.
India,National,Higher ed short-cycle,Undergraduate Certificate,exit award,,,1 year + 4-credit exit module,NHEQF 4.5,University or autonomous college,Institutional,Class 12,Undergraduate Diploma; Bachelor's,Undergraduate Certificate,"UG Certificate; NEP exit award",40 credits (+4 exit = 44),confirmed,UGC NHEQF Tables 1 & 11,Tier1-framework,2026-08-21,A genuine NEP multiple-exit qualification. NOT a bachelor's degree.
India,National,Higher ed short-cycle,Undergraduate Diploma,exit award,,,2 years + 4-credit exit module,NHEQF 5,University or autonomous college,Institutional,Class 12,Bachelor's degree,Undergraduate Diploma,"UG Diploma; NEP exit award",80 credits (+4 exit = 84),confirmed,UGC NHEQF Tables 1 & 11,Tier1-framework,2026-08-21,Genuine NEP multiple-exit qualification.
India,National,Undergraduate,Bachelor's degree (3-year),degree,,,3 years / 6 semesters,NHEQF 5.5,University or affiliated/autonomous college,University exams,Class 12; often CUET/JEE/NEET,2-year Master's degree,Bachelor's Degree,"B.A.; B.Sc.; B.Com.; BBA; B.Voc.",120 credits,confirmed,UGC NHEQF Tables 2 & 11,Tier1-framework,2026-08-21,"Highest-impact fact: 3-year and 4-year bachelor's degrees are BOTH currently awarded."
India,National,Undergraduate honours,Bachelor's degree (Honours / Honours with Research),degree,,,4 years / 8 semesters,NHEQF 6,University or affiliated/autonomous college,University exams,Class 12,1-year Master's degree,Bachelor's Degree (Honours/Honours with Research),"FYUP; 4-year UG; (Hons)",160 credits,confirmed,UGC NHEQF Tables 2 & 11,Tier1-framework,2026-08-21,"NOT the same as a pre-NEP 3-year B.A. (Hons). Ask the duration."
India,National,Undergraduate professional,B.E. / B.Tech.,degree,,,4 years / 8 semesters,NHEQF 6,University or affiliated/autonomous college,University exams,Class 12 (PCM) + JEE,M.E./M.Tech. (2 years),Bachelor of Engineering/Technology,"B.E.; B.Tech.",160 credits,confirmed,UGC NHEQF Tables 1 & 11,Tier1-framework,2026-08-21,
India,National,Undergraduate professional,B.Arch.,degree,,,5 years / 10 semesters,NHEQF 6 area,University/college,University exams,Class 12 + entrance,M.Arch. (2 years),Bachelor of Architecture,B.Arch.,,confirmed,UGC NHEQF Table 1,Tier1-framework,2026-08-21,
India,National,Undergraduate professional,B.Pharm.,degree,,,4 years / 8 semesters,NHEQF 6 area,University/college,University exams,Class 12,,Bachelor of Pharmacy,B.Pharm.,,confirmed,UGC NHEQF Table 1,Tier1-framework,2026-08-21,
India,National,Integrated,Integrated Bachelor's-Master's,degree,,,5 years / 10 semesters,,University/college,University exams,Class 12 (Grade 12 of school education),PhD,Integrated Bachelor's - Master's degree programmes,"5-year integrated",,confirmed,UGC NHEQF Table 1,Tier1-framework,2026-08-21,
India,National,Integrated teacher ed,4-year dual-major ITEP (B.A. B.Ed. etc.),degree,,,4 years / 8 semesters,NHEQF 6,University/college,University exams,Class 12,M.Ed. (2 years),Integrated Teacher Education Programme,"ITEP; B.A. B.Ed.; B.Sc. B.Ed.; B.Com. B.Ed.",160 credits,confirmed,UGC NHEQF Tables 1 & 11,Tier1-framework,2026-08-21,
India,National,Graduate diploma,Post-Graduate Diploma,exit award,,,1 year / 2 semesters,NHEQF 6,University or autonomous college,Institutional,Exit after year 1 of a 2-year master's,Master's degree,Post-Graduate Diploma,"PGD; PGDM (standalone institutes)",40 credits,confirmed,UGC NHEQF Tables 1 & 11,Tier1-framework,2026-08-21,"PGDM from a standalone AICTE-approved institute is a DIPLOMA, not a degree."
India,National,Postgraduate,Master's degree (after 3-year bachelor's),degree,,,2 years / 4 semesters,NHEQF 6.5,University or affiliated/autonomous college,University exams,3-year bachelor's degree,PhD,Master's degree,"M.A.; M.Sc.; M.Com.; MBA; M.Voc.",80 credits,confirmed,UGC NHEQF Tables 2 & 11,Tier1-framework,2026-08-21,
India,National,Postgraduate,Master's degree (after 4-year Honours),degree,,,1 year / 2 semesters,NHEQF 6.5-7,University or affiliated/autonomous college,University exams,4-year Bachelor's (Honours/Honours with Research),PhD,Master's degree,"1-year master's",40 credits,confirmed,UGC NHEQF Tables 2 & 11,Tier1-framework,2026-08-21,"Distinctive NEP provision: 4-year Honours gives access to a 1-year master's."
India,National,Postgraduate professional,M.E. / M.Tech.,degree,,,2 years / 4 semesters,NHEQF 7,University/college,University exams,B.E./B.Tech.; often GATE,PhD,Master of Engineering/Technology,"M.E.; M.Tech.",80 credits,confirmed,UGC NHEQF Table 11,Tier1-framework,2026-08-21,
India,National,Doctoral,Ph.D.,degree,,,varies,NHEQF 8,University,Thesis + published work,Master's degree; often UGC NET,,Doctoral degree,"PhD; doctorate","Credits for coursework plus a thesis and published work",confirmed,UGC NHEQF Tables 2 & 11,Tier1-framework,2026-08-21,
India,National,Vocational degree,B.Voc.,degree,,,3 years / 6 semesters,NHEQF 5.5,University/college,University exams,Class 12,M.Voc.,Bachelor of Vocation,B.Voc.,120 credits,confirmed,UGC NHEQF Tables 1 & 11,Tier1-framework,2026-08-21,
Bangladesh,National,Pre-primary,None,none,,~5,1 year,,School,none,none,Grade 1,Pre-primary education,"pre-primary; KG; nursery",,confirmed,"AACRAO/secondary; NCTB",Tier3,2026-08-21,NCTB provides curriculum and free textbooks from pre-primary.
Bangladesh,National,Primary,Primary completion (PEC/PSC),school certificate,Grades 1-5 (Class I-V),~6-10,5 years,,School,PEC/PSC examination (status uncertain),age ~6,Grades 6-8,Primary education,"Class I-V; primary",,warn,MoPME,Tier1-body-unverified,2026-08-21,PEC/PSC examination status uncertain - suspended/discontinued in some years.
Bangladesh,National,Junior secondary,JSC / JDC (discontinued),school certificate,Grades 6-8 (Class VI-VIII),~11-13,3 years,,School; madrasah,JSC (general) / JDC (madrasah),Primary completion,Grades 9-10,Junior secondary,"JSC; JDC; Class VIII",,warn,"BNQF (references 'JSC pass, Class VIII pass')",Tier1-framework,2026-08-21,"JSC/JDC discontinued. BNQF still recognises 'Class VIII pass' as a TVET entry level."
Bangladesh,National,Secondary,SSC,school certificate,Grades 9-10 (Class IX-X),~14-15,2 years,BNQF Level 3,School,SSC (9 general regional boards),Junior secondary completion,Grades 11-12 or BTEB diploma,Secondary School Certificate,"SSC; Class 10",,confirmed,BNQF (Ministry of Education Sept 2021),Tier1-framework,2026-08-21,"NOT a university-entry qualification. NOT the same as India's state-board SSC."
Bangladesh,National,Secondary (madrasah),Dakhil,school certificate,Grades 9-10,~14-15,2 years,BNQF Level 3,Aliya madrasah,Dakhil examination (BMEB),Junior secondary completion,Alim,Dakhil,Dakhil,,confirmed,"BNQF; BMEB",Tier1-framework,2026-08-21,SSC-equivalent since 1985.
Bangladesh,National,Secondary (vocational),SSC (Vocational) + NSC 3,dual certificate,Grades 9-10,~14-15,2 years,BNQF Level 3,BTEB-affiliated institution,BTEB examination,Junior secondary completion,HSC (Voc)/(BMT),SSC (Voc),"SSC Vocational",,confirmed,BNQF,Tier1-framework,2026-08-21,"DUAL certificate: a Secondary School Certificate AND an NSC 3."
Bangladesh,National,Higher secondary,HSC,school-leaving certificate,Grades 11-12 (Class XI-XII),~16-17,2 years,BNQF Level 5,"College; school and college",HSC (9 general regional boards),SSC or equivalent,Bachelor's degree,Higher Secondary Certificate,"HSC; Class 12; higher secondary",,confirmed,BNQF (Ministry of Education Sept 2021),Tier1-framework,2026-08-21,"Bangladesh's university-entrance qualification. NOT the same as India's state-board HSC."
Bangladesh,National,Higher secondary (madrasah),Alim,school-leaving certificate,Grades 11-12,~16-17,2 years,BNQF Level 5,Aliya madrasah,Alim examination (BMEB),Dakhil,Bachelor's degree; Fazil,Alim,Alim,,confirmed,"BNQF; BMEB",Tier1-framework,2026-08-21,HSC-equivalent since 1987.
Bangladesh,National,Higher secondary (vocational),HSC (Voc) / HSC (BMT) + NSC 5,dual certificate,Grades 11-12,~16-17,2 years,BNQF Level 5,BTEB-affiliated institution,BTEB examination,SSC or equivalent,Bachelor's degree; Diploma,HSC (Voc); HSC (BMT),"HSC Vocational; HSC Business Management and Technology",,confirmed,BNQF,Tier1-framework,2026-08-21,"DUAL certificate: HSC AND NSC 5."
Bangladesh,National,Madrasah higher,Fazil,madrasah qualification,,,unknown,BNQF level not established,Madrasah; Islamic Arabic University,,Alim,Kamil,Fazil,Fazil,,unresolved,BNQF (names it but does not level it),Tier1-framework-gap,2026-08-21,PRIORITY GAP: BNQF level placement not established.
Bangladesh,National,Madrasah highest,Kamil,madrasah qualification,,,unknown,BNQF level not established,Madrasah; Islamic Arabic University,,Fazil,,Kamil,Kamil,,unresolved,BNQF (names it but does not level it),Tier1-framework-gap,2026-08-21,PRIORITY GAP: BNQF level placement not established.
Bangladesh,National,Vocational competency,NSC 1,competency certificate,,any age,varies,BNQF Level 1,BTEB/NSDA,Competency assessment,"JSC pass; Class VIII pass; challenge test in language/literacy/numeracy; or a relevant prevocational programme",NSC 2,National Skill Certificate 1,NSC 1,,confirmed,BNQF,Tier1-framework,2026-08-21,"Prepares 'basic skilled workers'. Four alternative entry routes."
Bangladesh,National,Vocational competency,NSC 3,competency certificate,,,varies,BNQF Level 3,BTEB/NSDA,Competency assessment,NSC 2,NSC 4,National Skill Certificate 3,NSC 3,,confirmed,BNQF,Tier1-framework,2026-08-21,'Skilled workers'. Same level as SSC.
Bangladesh,National,Vocational competency,NSC 5,competency certificate,,,varies,BNQF Level 5,BTEB/NSDA,Competency assessment,NSC 4,NSC 6; Diploma,National Skill Certificate 5,NSC 5,,confirmed,BNQF,Tier1-framework,2026-08-21,'Supervisors'. Same level as HSC and Alim.
Bangladesh,National,TVET diploma,Diploma in Engineering,vocational diploma,,post-SSC,4 years,BNQF Level 6,Polytechnic (BTEB),BTEB examinations,SSC,Bachelor's degree,Diploma,"Diploma in Engineering; polytechnic diploma",,confirmed,"BNQF; BTEB scope",Tier1-framework,2026-08-21,"4 years - LONGER than India's or Nepal's 3-year diplomas, and at a level ABOVE the HSC."
Bangladesh,National,TVET diploma,Diploma in Agriculture,vocational diploma,,post-SSC,4 years,BNQF Level 6,BTEB-affiliated institution,BTEB examinations,SSC,Bachelor's degree,Diploma,,,confirmed,BTEB scope,Tier1-body,2026-08-21,
Bangladesh,National,TVET diploma,Diploma in Medical Technology,vocational diploma,,post-SSC,4 years,BNQF Level 6,BTEB-affiliated institution,BTEB examinations,SSC,Bachelor's degree,Diploma,,,confirmed,BTEB scope,Tier1-body,2026-08-21,
Bangladesh,National,Undergraduate,Bachelor's degree (3-year),degree,,,3 years,BNQF Level 7,University; NU-affiliated college,University exams,HSC or equivalent,Master's degree,Bachelor's,"Pass degree; Degree Pass Course",120 credits minimum,confirmed,BNQF Table 1,Tier1-framework,2026-08-21,
Bangladesh,National,Undergraduate,Bachelor's degree (4-year; with or without Honours),degree,,,4 years,BNQF Level 7,University; NU-affiliated college,University exams,HSC or equivalent; GST or institution test,Master's degree,Bachelor with Honours / Bachelor's (4 years),Honours,140 credits minimum,confirmed,BNQF Table 1,Tier1-framework,2026-08-21,"NOTE: a 4-year degree may be 'with or without honours' - duration and credits are more reliable than the label."
Bangladesh,National,Undergraduate,Bachelor's degree (5-year),degree,,,5 years,BNQF Level 7,University,University exams,HSC or equivalent,Master's degree,Bachelor's (5 years),,160 credits minimum,confirmed,BNQF Table 1,Tier1-framework,2026-08-21,
Bangladesh,National,Graduate certificate,Postgraduate Certificate,certificate,,,unknown,BNQF Level 8,University,Institutional,Bachelor's degree,Master's degree,Postgraduate Certificate,PG Certificate,30 credits minimum,confirmed,BNQF Table 1,Tier1-framework,2026-08-21,"Positioned 'above that of a Bachelor's but below that of a Master's'."
Bangladesh,National,Graduate diploma,Postgraduate Diploma,diploma,,,unknown,BNQF Level 8,University,Institutional,Bachelor's degree,Master's degree,Postgraduate Diploma,PG Diploma,40 credits minimum,confirmed,BNQF Table 1,Tier1-framework,2026-08-21,
Bangladesh,National,Postgraduate,Master's by Coursework,degree,,,1-2 years,BNQF Level 9,University; NU-affiliated college,Coursework,Bachelor's degree,Doctoral degree,Master's by Coursework,Masters,40 credits minimum,confirmed,BNQF Table 1,Tier1-framework,2026-08-21,"A 1-year master's is normal in Bangladesh, commonly after a 4-year Honours degree."
Bangladesh,National,Postgraduate,Master's Mixed Mode,degree,,,1-2 years,BNQF Level 9,University,Coursework + dissertation,Bachelor's degree,Doctoral degree,Master's Mixed Mode,Masters,20 credits + dissertation,confirmed,BNQF Table 1,Tier1-framework,2026-08-21,Assessment based on both components.
Bangladesh,National,Postgraduate,Master's by Research,degree,,,1-2 years,BNQF Level 9,University,Thesis/dissertation only,Bachelor's degree,Doctoral degree,Master's by Research,Masters,"No credit minimum; taught component (if any) is not credit-bearing",confirmed,BNQF Table 1,Tier1-framework,2026-08-21,Students assessed solely on the thesis/dissertation.
Bangladesh,National,Doctoral,Doctoral by Research,degree,,,~3 years minimum,BNQF Level 10,University,Thesis,Master's degree,,Doctoral,"PhD",No credit minimum,confirmed,BNQF Table 1,Tier1-framework,2026-08-21,"All doctoral qualifications require a thesis. Titled PhD for research doctorates."
Bangladesh,National,Doctoral,Doctoral by Mixed Mode,degree,,,~3 years minimum,BNQF Level 10,University,Taught course + thesis,Master's degree,,Doctoral,"PhD; EdD; DEng",30 credits + thesis,confirmed,BNQF Table 1,Tier1-framework,2026-08-21,"Applied/professional doctorates may use EdD, DEng or other field descriptors."
China (mainland),National,Pre-school,None,none,,~3-6,up to 3 years,,Kindergarten,none,none,Primary school,幼儿园 (kindergarten),"kindergarten; pre-school",,warn,,unverified,2026-08-21,No certificate.
China (mainland),National,Primary,Primary graduation certificate,school certificate,Grades 1-6,~6-12,6 years,,小学 (primary school),none national,age 6 (7 in some areas),Junior secondary,小学 (Primary school),"primary school",,confirmed,MOE-derived sources,Tier2,2026-08-21,Part of nine-year compulsory free education.
China (mainland),National,Junior secondary,Junior secondary graduation certificate,school certificate,Grades 7-9,~12-15,3 years,,初中 (junior secondary),Zhongkao 中考,Primary completion,General senior high or vocational senior secondary,初中 (Junior secondary),"junior high; chuzhong",,confirmed,MOE-derived sources,Tier2,2026-08-21,"Zhongkao serves BOTH junior-high graduation AND senior-high admission. Locally administered."
China (mainland),National,Upper secondary,Senior High School Graduation Diploma,school-leaving certificate,Grades 10-12,~15-18,3 years,ISCED 3; no Chinese framework level,普通高中 (general senior high school),"Huikao 会考 OR Academic Proficiency Test 学业水平测试 (graduation); Gaokao 高考 (admission)",Zhongkao,Zhuanke or Benke,普通高中毕业证书,"senior high school diploma; senior middle school graduation certificate",,confirmed,"CHSI/CSSD verification services; WENR",Tier1-verification,2026-08-21,"NOT the university-entrance mechanism - the gaokao is. CHSI-verifiable."
China (mainland),National,Upper secondary (vocational),Secondary vocational graduation certificate,vocational certificate,Grades 10-12,~15-18,3 years,,中职 (中专/技校/职业高中),Vocational assessments,Zhongkao,Higher vocational (zhuanke); vocational undergraduate,中职,"zhongzhi; secondary vocational school",,warn,MOE-derived sources,Tier2,2026-08-21,"2022 Vocational Education Law: equal status with general education, 'from level to type'."
China (mainland),National,Higher ed short-cycle,Zhuanke graduation certificate,graduation certificate (no degree),,~18+,2-3 years,No Chinese framework level,高职 (higher vocational college); some universities,Institutional,Gaokao (lower band) or vocational entry,"Benke via zhuanshengben 专升本",专科 (Zhuanke),"junior college; short-cycle; associate (inexact)",,confirmed,"Nuffic; CHSI",Tier2,2026-08-21,"CRITICAL: yields a GRADUATION CERTIFICATE ONLY - no bachelor's degree certificate. 'More practically-oriented than bachelor's programmes.'"
China (mainland),National,Undergraduate,Benke graduation certificate + Bachelor's degree certificate,graduation certificate + degree,,~18+,4-5 years,No Chinese framework level,大学 (university); 学院 (college),Institutional,Gaokao,Master's degree,本科 (Benke) + 学士 (Bachelor),"undergraduate; bachelor's",,confirmed,"CHSI; Nuffic",Tier1-verification,2026-08-21,"TWO documents: 毕业证书 (graduation) AND 学位证书 (degree). Either can be missing. A 'Benke Certificate of Graduation' is often TRANSLATED as 'Diploma'."
China (mainland),National,Undergraduate (vocational),Vocational undergraduate (职业本科),degree,,,4 years,Benke level,Higher vocational institution (State Council-approved),Institutional,Zhongkao/gaokao route,Master's degree,职业本科,"vocational undergraduate; zhiye benke",,confirmed,Vocational Education Law 2022,Tier1-law,2026-08-21,"Created by the 2022 Law: qualifying higher vocational programmes 'may be extended to undergraduate vocational education'."
China (mainland),National,Postgraduate,Master's degree,degree,,,2-3 years,No Chinese framework level,University,Kaoyan 考研 + institutional,Benke degree,Doctoral degree,硕士 (Master),"master's",,warn,Degrees Law 2024,Tier1-law,2026-08-21,"Degrees Law distinguishes ACADEMIC degrees (学术学位) from PROFESSIONAL degrees (专业学位). Duration unverified."
China (mainland),National,Doctoral,Doctoral degree,degree,,,3-4 years,No Chinese framework level,University,Dissertation,Master's degree,,博士 (Doctor),"doctorate; PhD",,warn,Degrees Law 2024,Tier1-law,2026-08-21,"Academic or professional. Duration unverified."
Australia,"National (AQF); 8 jurisdictions issue the certificate",Upper secondary,Senior Secondary Certificate of Education,school-leaving certificate,Years 11-12,~16-18,2 years,AQF: Senior Secondary Certificate of Education,Senior secondary school; senior college,"Jurisdiction-specific external exams + school-based assessment",Year 10 completion,"AQF 5-7 (Diploma; Associate Degree; Bachelor)",Senior Secondary Certificate of Education,"HSC (NSW); VCE (Vic); QCE (Qld); SACE (SA); WACE (WA); TCE (Tas); NTCET (NT); ACT Senior Secondary Certificate",,confirmed,"AQF (via University of Wollongong); ACACA",Tier1-framework,2026-08-21,"All eight are nationally recognised and used to generate an ATAR. One AQF position, eight certificates."
Australia,National,VET,Certificate I,VET certificate,,post-Year-10,0.5-1 year,AQF 1,RTO (incl. TAFE),Competency assessment,varies,Certificate II,Certificate I,Cert I,,confirmed,AQF,Tier1-framework,2026-08-21,"Competency-based, not graded. Listed on training.gov.au."
Australia,National,VET,Certificate II,VET certificate,,,0.5-1 year,AQF 2,RTO (incl. TAFE),Competency assessment,varies,Certificate III,Certificate II,Cert II,,confirmed,AQF,Tier1-framework,2026-08-21,
Australia,National,VET,Certificate III,VET certificate,,,1-2 years,AQF 3,RTO (incl. TAFE),Competency assessment,varies,Certificate IV,Certificate III,Cert III,,confirmed,AQF,Tier1-framework,2026-08-21,"Common apprenticeship/trade level. BELOW the Senior Secondary Certificate in AQF complexity terms."
Australia,National,VET,Certificate IV,VET certificate,,,0.5-2 years,AQF 4,RTO (incl. TAFE),Competency assessment,varies,Diploma,Certificate IV,Cert IV,,confirmed,AQF,Tier1-framework,2026-08-21,
Australia,National,Diploma,Diploma,diploma,,,1-2 years,AQF 5,RTO/TAFE OR higher education provider,Varies by sector,Senior Secondary Certificate or Cert IV,Advanced Diploma; Bachelor Degree (with credit),Diploma,Diploma,,confirmed,AQF,Tier1-framework,2026-08-21,"Can be awarded in BOTH the VET and higher-education sectors - ask which."
Australia,National,Advanced Diploma,Advanced Diploma,diploma,,,1.5-2 years,AQF 6,RTO/TAFE OR higher education provider,Varies by sector,Diploma,"Bachelor Degree (may enter year 2 or 3)",Advanced Diploma,Adv Dip,,confirmed,AQF,Tier1-framework,2026-08-21,"'May provide entry into the second or third year of a related degree.'"
Australia,National,Associate Degree,Associate Degree,degree,,,2 years,AQF 6,Higher education provider,Institutional,Senior Secondary Certificate,Bachelor Degree,Associate Degree,Assoc Deg,~128 credit points / 2.0 EFTSL (institution example),confirmed,AQF,Tier1-framework,2026-08-21,Same AQF level as an Advanced Diploma.
Australia,National,Undergraduate,Bachelor Degree,degree,,,3-4 years,AQF 7,University or non-university HE provider (TEQSA-registered),Institutional,Senior Secondary Certificate + ATAR/selection rank,"Bachelor Honours; Graduate Certificate/Diploma; Masters",Bachelor Degree,"bachelor's; undergraduate degree",~192 credit points / 3.0 EFTSL for a 3-year degree (institution example),confirmed,AQF,Tier1-framework,2026-08-21,"AQF descriptor: 'broad and coherent knowledge and skills for professional work and/or further learning'."
Australia,National,Undergraduate honours,Bachelor Honours Degree,degree,,,"4 years, or +1 year after a bachelor's",AQF 8,University,Institutional; research component,Bachelor Degree or direct entry,Masters; Doctoral,Bachelor Honours Degree,"Honours; Hons",,confirmed,AQF,Tier1-framework,2026-08-21,"A LEVEL ABOVE Bachelor Degree. Same AQF level as Graduate Certificate and Graduate Diploma. NOT equivalent to a South Asian 'Honours' bachelor's."
Australia,National,Graduate,Graduate Certificate,certificate,,,0.5-1 year,AQF 8,University,Institutional,Bachelor Degree,Graduate Diploma; Masters,Graduate Certificate,Grad Cert,,confirmed,AQF,Tier1-framework,2026-08-21,
Australia,National,Graduate,Graduate Diploma,diploma,,,1-2 years,AQF 8,University,Institutional,Bachelor Degree,Masters,Graduate Diploma,Grad Dip,,confirmed,AQF,Tier1-framework,2026-08-21,
