term,country,region_scope,education_level,official_meaning,common_usage,ambiguity_risk,disambiguating_question,verification,research_date,notes
"Diploma","India",National,"Post-Class-10 OR post-Class-12 OR postgraduate","AMBIGUOUS: a 3-year polytechnic Diploma in Engineering (after Class 10); an NEP Undergraduate Diploma (2 years, 80 credits, NHEQF 5); a Post-Graduate Diploma (1 year, 40 credits, NHEQF 6); or a PGDM",,HIGH,"After Class 10, after Class 12, or after a bachelor's degree?",confirmed,2026-08-21,"Four distinct meanings."
"Diploma","Nepal",National,Post-SEE,"Most likely a CTEVT 3-year Diploma taken INSTEAD OF Grades 11-12","Also used for university postgraduate diplomas",MEDIUM,"CTEVT or a university PGD? After SEE or after Grade 12?",warn,2026-08-21,
"Diploma","Bangladesh",National,Post-SSC,"A 4-year BTEB Diploma (Engineering / Agriculture / Medical Technology) at BNQF Level 6 - a level ABOVE the HSC",,MEDIUM,"Which field? BTEB-affiliated?",confirmed,2026-08-21,"4 years - LONGER than India's or Nepal's 3-year diplomas."
"Diploma","Australia",National,AQF 5,"An AQF Level 5 qualification, awardable by EITHER a VET provider (RTO/TAFE) OR a higher education provider",,MEDIUM,"From a TAFE/RTO or a university?",confirmed,2026-08-21,
"Diploma","United Kingdom",UK,"FHEQ 5 or 7","DipHE (FHEQ 5), HND (FHEQ 5), Graduate Diploma (FHEQ 6), or Postgraduate Diploma (FHEQ 7) - all defined levels",,MEDIUM,"Which diploma exactly?",confirmed,2026-08-21,
"Diploma","China (mainland)",National,Varies,"A translated Chinese credential rendered as 'Diploma' may be the GRADUATION CERTIFICATE of a 4-5 year benke (undergraduate) programme",,HIGH,"How many years was the programme? Do you also have a degree certificate?",confirmed,2026-08-21,"'A Benke Certificate of Graduation is often translated as a Diploma'. The REVERSE of the South Asian trap."
"Diploma","United States",National,n/a,"THE CERTIFICATE DOCUMENT ITSELF - for a high school diploma or a degree parchment. NOT a sub-degree qualification level",,HIGH,"What qualification does the diploma certify?",warn,2026-08-21,"Five-way trap across the eight countries."
"Honours / (Hons)","India",National,Undergraduate,"AMBIGUOUS: a pre-NEP 3-year specialised single-subject honours degree (120 credits, NHEQF 5.5) OR the NEP 4-year Bachelor's (Honours) (160 credits, NHEQF 6)",,HIGH,"How many years, and how many total credits?",confirmed,2026-08-21,"'Honours' in pre-NEP India denoted specialisation, NOT an extra year."
"Honours","Bangladesh",National,Undergraduate,"A 4-year bachelor's degree, 140 credits, BNQF Level 7 (contrasted with a 3-year 'Pass' degree, 120 credits)",,MEDIUM,"How many years? Honours or Pass?",confirmed,2026-08-21,"A 4-year degree may be 'with or without honours' - duration and credits are more reliable than the label."
"Honours","Australia",National,AQF 8,"A Bachelor Honours Degree at AQF LEVEL 8 - a LEVEL ABOVE Bachelor Degree (AQF 7), at the same level as a Graduate Certificate/Diploma",,HIGH,"Integrated (4-year) or a standalone honours year? What class?",confirmed,2026-08-21,"NOT structurally the same as a South Asian 'Honours' bachelor's."
"Honours","United Kingdom",UK,"FHEQ 6 / SCQF 10","A Bachelor Degree with Honours, classified 1st / 2.1 / 2.2 / 3rd. A Bachelor (Ordinary)/Pass degree has NO classification",,MEDIUM,"What classification did you get? If none, was it an Ordinary/Pass degree?",confirmed,2026-08-21,
"MA (Hons)","United Kingdom","Scotland (Aberdeen, Edinburgh, Glasgow, St Andrews)","SCQF 10 / FHEQ 6","An UNDERGRADUATE degree - a bachelor-level qualification titled 'Master of Arts'",,VERY HIGH,"Which university awarded it?",confirmed,2026-08-21,"Arguably the highest-risk naming trap in UK education. UK ENIC: 'In the Universities of Aberdeen, Edinburgh, Glasgow and St Andrews in Scotland, undergraduate degrees are titled MA (Master of Arts) or MA (Master of Arts) (Hons).'"
"Zhuanke (专科)","China (mainland)",National,Short-cycle higher education,"A 2-3 year, 'more practically-oriented' higher-education programme yielding a GRADUATION CERTIFICATE BUT NO BACHELOR'S DEGREE","Students may describe it in English as 'university' or 'college diploma'",VERY HIGH,"How many years was the programme? Do you have a degree certificate (学位证书) as well as a graduation certificate (毕业证书)?",confirmed,2026-08-21,"Characterising a 3-year zhuanke against foreign qualifications is CONTESTED among credential evaluators. Describe it, do not level it."
"Benke (本科)","China (mainland)",National,Undergraduate,"A 4-5 year undergraduate programme yielding a graduation certificate AND a bachelor's degree certificate",,MEDIUM,"Do you have BOTH documents?",confirmed,2026-08-21,
"毕业证书 / 学位证书","China (mainland)",National,Higher education,"Graduation certificate (programme completion) / Degree certificate (degree conferral) - TWO SEPARATE DOCUMENTS, verified separately","'it is possible to hold a graduation certificate without a degree certificate, and vice versa'",VERY HIGH,"Do you have both a graduation certificate and a degree certificate?",confirmed,2026-08-21,"THE non-negotiable China question. A 4-year programme completed without degree conferral yields a graduation certificate only."
"HSC","India","Maharashtra and other state boards",Upper secondary,"Higher Secondary Certificate - CLASS 12 in several Indian state boards",,VERY HIGH,"Which COUNTRY, and which board?",warn,2026-08-21,"'HSC' also means Bangladesh's national Class 12 qualification. Establish the country first."
"HSC","Bangladesh",National,Upper secondary,"Higher Secondary Certificate - the NATIONAL Class 12 examination, BNQF Level 5",,VERY HIGH,"Which COUNTRY, and which board?",confirmed,2026-08-21,"Not the same as an Indian state-board HSC."
"HSC","Australia","New South Wales",Upper secondary,"Higher School Certificate - NSW's senior secondary certificate",,HIGH,"Which country?",confirmed,2026-08-21,"A THIRD meaning of 'HSC' across these eight countries."
"SSC","India","Maharashtra and other state boards",Secondary,"Secondary School Certificate - CLASS 10 in several Indian state boards",,VERY HIGH,"Which country, and which board?",warn,2026-08-21,
"SSC","Bangladesh",National,Secondary,"Secondary School Certificate - the NATIONAL Class 10 examination, BNQF Level 3",,VERY HIGH,"Which country, and which board?",confirmed,2026-08-21,
"Matriculation / matric","India",National,Secondary,"Class 10 completion","Common in North India and on older certificates",MEDIUM,"Which board? Which year?",warn,2026-08-21,"NOT a school-leaving qualification for higher education."
"Intermediate","India","UP, Bihar, Telangana, Andhra Pradesh",Upper secondary,"Class 12","Also 'Intermediate 1st year / 2nd year' for Classes 11/12",MEDIUM,"Which board?",warn,2026-08-21,
"Intermediate / I.Sc. / I.Com. / I.A.","Nepal",National,"Post-secondary / upper secondary boundary","The old 2-year post-SLC certificate under Tribhuvan University's certificate level","Indicates an OLDER Nepali applicant",MEDIUM,"Which awarding body, and which year?",confirmed,2026-08-21,"Superseded by NEB Grades 11-12."
"PCL","Nepal",National,Post-secondary,"Proficiency Certificate Level - TU's 2-3 year certificate level, largely phased out","Technical PCL became the CTEVT Diploma",MEDIUM,"Which awarding body and year?",warn,2026-08-21,
"II PUC","India",Karnataka,Upper secondary,"Pre-University Course, second year = Class 12",,LOW,,warn,2026-08-21,
"Year 12","United Kingdom","England and Wales vs Northern Ireland","Upper secondary","ENGLAND/WALES: the first A-level year (Key Stage 5). NORTHERN IRELAND: the GCSE year (Key Stage 4)",,VERY HIGH,"Which UK nation?",confirmed,2026-08-21,"NI year numbering is OFFSET BY ONE from England's. NI Year 12 = England Year 11."
"C*","United Kingdom",Northern Ireland,GCSE,"A GCSE grade sitting BETWEEN C and B, introduced in NI in 2019",,HIGH,"(Its presence itself identifies NI, 2019 or later)",confirmed,2026-08-21,"Northern Ireland ONLY. Reading C* as a 'starred fail' or as equal to C would be a material error."
"Kindergarten","United States",National,Pre-Grade-1,"The year before Grade 1, age ~5",,MEDIUM,"Which country?",warn,2026-08-21,
"Kindergarten","Australia","NSW and ACT vs Victoria","Pre-Grade-1 OR pre-school","NSW/ACT: the FIRST YEAR OF SCHOOL. Victoria and elsewhere: a PRE-SCHOOL year",,HIGH,"Which state?",warn,2026-08-21,"Real Australian internal ambiguity."
"Secondary V / Sec 5","Canada",Québec,Secondary,"The fifth and final year of Québec secondary school - 'corresponds to grade 11 in other jurisdictions'",,HIGH,"Did you go on to CEGEP?",confirmed,2026-08-21,"11 years of schooling, not 12."
"CEGEP","Canada",Québec,Post-secondary,"Collège d'enseignement général et professionnel - 'encompasses grade 12 from high school and the first year of university'",,MEDIUM,"Pre-university (2 years) or technical (3 years)? Do you hold a DEC?",confirmed,2026-08-21,"No counterpart anywhere else in Canada."
"DEC / DCS","Canada",Québec,Post-secondary,"Diplôme d'études collégiales / Diploma of College Studies - the CEGEP award",,MEDIUM,"Which stream?",confirmed,2026-08-21,"Named in the CDQF alongside the secondary school diploma as a bachelor's-entry qualification."
"MD / DDS / JD / LLB","Canada",National,Higher education,"'Considered to be BACHELOR'S PROGRAMS IN ACADEMIC STANDING', though they 'yield degrees with other nomenclature'",,VERY HIGH,"How many years of prior degree-level study?",confirmed,2026-08-21,"CDQF, 2007. CONTRAST the UK, where the equivalents are FHEQ 7 (master's level)."
"MB BS / MB ChB / BDS / BVSc","United Kingdom",UK,"FHEQ 7 / SCQF 11","'Primary qualifications (or first degrees) in medicine, dentistry and veterinary science' at MASTER'S LEVEL, Bologna second cycle",,VERY HIGH,,confirmed,2026-08-21,"CONTRAST Canada, where MD/DDS are bachelor's-level in academic standing."
"JD / MD","United States",National,Higher education,"Professional doctorates entered AFTER a bachelor's degree. Because the US has no qualifications framework, NO US LEVEL CAN BE STATED",,HIGH,"How many credits? What prior degree?",warn,2026-08-21,"Three English-speaking systems, three different placements for structurally similar qualifications."
"Juris Doctor / Doctor of Medicine","Australia",National,AQF 9,"Reportedly classified as Masters Degree (Extended) at AQF Level 9 - NOT doctorates",,HIGH,,warn,2026-08-21,"The AQF 'Masters (Extended)' type at AQF 9 with a 3-4 year volume IS confirmed; which qualifications fall in it was not verified."
"Integrated Master's","United Kingdom",UK,"FHEQ 7 / SCQF 11","MEng, MChem, MPhys - undergraduate ENTRY but reaching master's level",,MEDIUM,,confirmed,2026-08-21,"NOT a bachelor's degree despite undergraduate entry."
"Graduate vs Postgraduate","United Kingdom",UK,"FHEQ 6 vs FHEQ 7","Graduate Certificate/Diploma = FHEQ 6 (BACHELOR'S level). Postgraduate Certificate/Diploma = FHEQ 7 (MASTER'S level)",,HIGH,"Graduate or Postgraduate?",confirmed,2026-08-21,"A subtle and consequential UK distinction."
"ATAR","Australia",National,Admission,"Australian Tertiary Admission Rank - 'a RANK, not a mark or score', 0.00-99.95, the holder's percentile position in the age cohort",,VERY HIGH,"Which jurisdiction and year?",confirmed,2026-08-21,"'An ATAR of 70 doesn't mean you got 70 percent - it means that you're in the top 30 percent.' MUST NOT be converted."
"GPA","Bangladesh",National,"School vs higher education","SCHOOL (SSC/HSC): a 5.00 scale. UNIVERSITY: typically a 4.00 scale",,VERY HIGH,"Which document? Which scale maximum?",warn,2026-08-21,"The same student legitimately holds two GPAs on two different scales."
"GPA","Nepal",National,"School vs higher education","BOTH are 4.0 scales, but with DIFFERENT step patterns: NEB school uses 0.4 steps (4.0/3.6/3.2); universities use US-style steps (4.0/3.7/3.3)",,HIGH,"Which document? Which institution?",warn,2026-08-21,"Two structurally different 4.0 scales."
"GPA","Australia",National,Higher education,"Most Australian universities use a 7-POINT GPA (HD=7, D=6, C=5, P=4, F=0)",,HIGH,"Out of what maximum?",warn,2026-08-21,"NOT a 4.0 scale. Distinct from WAM."
"WAM","Australia",National,Higher education,"Weighted Average Mark - a percentage-based weighted average, used for Honours admission and scholarship ranking",,MEDIUM,"GPA or WAM?",warn,2026-08-21,"NOT the same as GPA."
"GPA","Canada",National,Higher education,"NO national scale: 4.0, 4.3, 4.33, 9-point, 12-point and percentage systems all exist, varying by province AND institution",,VERY HIGH,"Which university, and what is the maximum?",warn,2026-08-21,"A '3.7' could be near-perfect on 4.0, strong on 4.3, or middling on 9- or 12-point."
"GPA (weighted)","United States",District-specific,High school,"A GPA including bonus points for Honors (+0.5) and AP/IB (+1.0) courses - CAN EXCEED 4.0",,VERY HIGH,"High school or college? Weighted or unweighted?",warn,2026-08-21,"'College registrars report the unweighted GPA on official transcripts.' A GPA above 4.0 is a high-school weighted figure."
"CGPA","India",National,Higher education,"A 10-POINT cumulative grade point average (not 4.0)",,HIGH,"Which institution? Does the university issue a conversion certificate?",confirmed,2026-08-21,"No national CGPA-to-percentage formula exists."
"NG (Non-Graded)","Nepal",National,School,"A result below the reporting threshold - replaced 'fail' in the letter-grading era",,LOW,"Has a grade-increment exam been taken since?",warn,2026-08-21,
"Grade increment","Nepal",National,School,"An NEB re-sit examination to improve a subject grade",,MEDIUM,"Does the certificate year differ from the first attempt?",warn,2026-08-21,
"Compartment / improvement exam","India",National,School,"A re-sit for a failed subject (compartment) or to improve a passing score (improvement)",,MEDIUM,"Does the certificate year differ from the first attempt?",warn,2026-08-21,
"BS (Bikram Sambat)","Nepal",National,All,"The Nepali calendar used on documents. BS is approximately AD + 56/57; BS 2081 = 2024/25",,HIGH,"(Convert BS to AD before reading any date)",confirmed,2026-08-21,"A certificate dated '2078' or '2081' is a BS year, not AD."
"Community school / Institutional school","Nepal",National,School,"Nepal's official terms for PUBLIC and PRIVATE schools respectively",,LOW,,confirmed,2026-08-21,"Both sit the same NEB examinations and receive the same certificate."
"Aliya vs Qawmi madrasah","Bangladesh",National,School,"ALIYA: BMEB-governed, issuing Dakhil/Alim with formal SSC/HSC equivalency. QAWMI: a separate non-government religious system OUTSIDE BMEB",,HIGH,"Aliya (BMEB) or Qawmi?",warn,2026-08-21,"Do NOT assume BMEB equivalency for a Qawmi qualification."
"Recognised Body vs Listed Body","United Kingdom",UK,Higher education,"RECOGNISED BODY: has degree-awarding powers. LISTED BODY: delivers courses leading to ANOTHER body's degrees",,HIGH,"Which institution AWARDED the degree?",confirmed,2026-08-21,
"Affiliated college","Nepal, India, Bangladesh",National,Higher education,"A college that TEACHES but whose degrees are AWARDED BY the affiliating university",,HIGH,"Which university awarded the degree?",confirmed,2026-08-21,"India: 45,473 colleges / ~1,168 universities. Bangladesh: ~1,688 NU-affiliated colleges."
"Autonomous college","India",National,Higher education,"An affiliated college granted autonomy over curriculum and assessment - it SETS ITS OWN pass marks and CGPA thresholds",,MEDIUM,,confirmed,2026-08-21,"NHEQF: 'The universities or the autonomous colleges can decide on the grade or percentage of marks required to pass'."
"DLI","Canada",National,All,"Designated Learning Institution - 'a school approved by a provincial or territorial government to host international students'",,LOW,,confirmed,2026-08-21,"A letter of acceptance from a DLI is needed for a study permit."
"ECA","Canada",National,All,"Educational Credential Assessment - required for SKILLED MIGRATION (e.g. Express Entry), NOT for admission",,HIGH,,confirmed,2026-08-21,"Never tell a student they need an ECA to STUDY in Canada."
"CHSI / CSSD","China (mainland)",National,All,"The MOE-authorised credential verification institution (CSSD) and its portal (CHSI). Since August 2022 the SOLE official portal for verifying both graduation and degree certificates",,LOW,,confirmed,2026-08-21,"Also verifies senior high school certificates and provincial examination results."
"Accredited","United States",National,Higher education,"Accredited by an accreditor RECOGNISED BY the U.S. Secretary of Education and/or CHEA",,HIGH,"Is the accreditor USDE/CHEA-recognised? (Check CHEA's directories or ED's DAPIP)",confirmed,2026-08-21,"'Unaccredited' is a real and occasionally failed test in the US, unlike in most other systems."
"CRICOS","Australia",National,All,"Commonwealth Register of Institutions and Courses for Overseas Students - a course must be CRICOS-registered for a student visa",,LOW,,confirmed,2026-08-21,"Register updates monthly."
"NSC (National Skill Certificate)","Bangladesh",National,Vocational,"Competency certificates at BNQF Levels 1-6. SSC (Voc) confers SSC + NSC 3; HSC (Voc)/(BMT) confers HSC + NSC 5",,MEDIUM,"Do you hold both certificates?",confirmed,2026-08-21,"Distinctive DUAL certification design."
"Freshman / sophomore / junior / senior","United States",National,"High school OR undergraduate","1st/2nd/3rd/4th year of EITHER high school OR a bachelor's degree",,HIGH,"High school or college?",warn,2026-08-21,
"Junior college","India",Maharashtra,Upper secondary,"The institution delivering CLASSES 11-12",,HIGH,"(Not higher education)",warn,2026-08-21,
"Junior college","United States",National,Higher education,"A two-year / community college",,HIGH,"Which country?",warn,2026-08-21,"Opposite level to the Indian sense."
"A-Levels / O-Levels taken outside the UK","Nepal, India, Bangladesh, China",n/a,Upper secondary,"UK-LINKED INTERNATIONAL qualifications (International A level, IGCSE, Cambridge GCE O level) - treated by UK ENIC as a DISTINCT CATEGORY from domestic UK GCSEs/A levels",,VERY HIGH,"Which awarding body, and in which country was it taken?",confirmed,2026-08-21,"Do NOT interpret on the local national grading scale, and do NOT assume identity with the domestic UK qualification."
"IB Diploma taken in any of the eight countries",all,n/a,Upper secondary,"An INTERNATIONAL qualification from the IBO - not a domestic qualification of the country where it was taken",,HIGH,"Which awarding body?",warn,2026-08-21,"Applies in all eight countries in this research."
