country,system_name,scope,unit_name,notional_hours_per_unit,units_per_year,definition_source,legally_defined,verification,source,research_date,notes
China (mainland),"University credits (学分)",Higher education,学分 (credit),"institution-set (one reported convention: 1 class hour of 45 min per week for a ~18-week semester)","160-180 credits for a bachelor's degree (MOE 2023)","MOE national teaching quality standards for bachelor's degree programmes (announced 30 January 2018, covering 92 broad subject areas / 587 disciplines) specify credit-hours per discipline",partly (per-discipline national standards),warn,"British Council reporting on the MOE 2018 standards; MOE 2023 statistics",2026-08-21,"PARTIALLY RESOLVED 2026-08-21. CORRECTION: it is wrong to say China has no national credit specification - the MOE's 2018 national teaching quality standards specify credit-hours for each of 587 disciplines. But there is NO single national credit-to-notional-hours formula comparable to India's 30 hours or Bangladesh's 40. A Chinese bachelor's typically requires 160-180 credits because the unit is smaller - this makes the cross-country credit warning SHARPER, not weaker. Report credits as printed."
Australia,"Volume of learning (AQF)",All,equivalent full-time years,n/a,n/a,"AQF Second Edition Jan 2013 (OBTAINED 2026-08-21 via the Internet Archive)",yes (framework),confirmed,AQF Second Edition January 2013,2026-08-21,"RESOLVED 2026-08-21. AQF definition verbatim: 'The volume of learning identifies the notional duration of all activities required for the achievement of the learning outcomes specified for a particular AQF qualification type. It is expressed in equivalent full-time years.' OFFICIAL VOLUMES: SSCE 2 yr; Cert I 0.5-1; Cert II 0.5-1; Cert III 1-2 (up to 4 via indentured training); Cert IV 0.5-2; Diploma 1-2; Adv Diploma 1.5-2; Associate Degree 2; Bachelor 3-4; Bachelor Honours 1 yr following a Bachelor Degree (or embedded as an additional year); Grad Cert 0.5-1; Grad Dip 1-2; Masters Research/Coursework 1-2 (1.5 yr after AQF7 same discipline / 1 yr after AQF8 / 2 yr after AQF7 different discipline); Masters Extended 3-4 following a minimum 3-year AQF7; Doctoral 3-4. The conflicting secondary figures for Diploma and Advanced Diploma are REFUTED."
Australia,"EFTSL",Higher education,EFTSL (Equivalent Full-Time Student Load),n/a,1.0 EFTSL = one year full-time,National,partly (national load unit),warn,secondary sources,2026-08-21,"Australia's real load currency. REASON IN EFTSL/YEARS, NOT CREDIT POINTS."
Australia,"Credit points",Higher education,credit point,institution-specific,institution-specific,Institution,no,warn,secondary sources,2026-08-21,"NOT comparable across institutions. Example: 128 points = 2.0 EFTSL (Associate Degree); 192 points = 3.0 EFTSL (3-year Bachelor) at one institution - i.e. 64 points = 1.0 EFTSL there."
Australia,"Units of competency",VET,unit of competency,n/a,n/a,Training packages (ASQA/training.gov.au),yes,confirmed,ASQA,2026-08-21,"The VET currency. NOT a credit point. Training package qualifications are 'composed of units of competency and assessment requirements'."
Canada,"Secondary credits - Ontario",Secondary (Ontario),credit,not defined in hours,n/a,Ontario Ministry of Education,yes (provincial),confirmed,Government of Ontario,2026-08-21,"30 credits = a COMPLETE diploma."
Canada,"Secondary credits - British Columbia",Secondary (BC),credit,not defined in hours,n/a,Province of British Columbia,yes (provincial),confirmed,Province of British Columbia,2026-08-21,"80 credits = a COMPLETE diploma (52 required + 28 elective)."
Canada,"Secondary credits - Alberta",Secondary (Alberta),credit,not defined in hours,n/a,Alberta Education,yes (provincial),warn,secondary sources,2026-08-21,"100 credits = a COMPLETE diploma, mainly at the '30' level. NEVER compare Canadian secondary credit counts across provinces."
Canada,"CDQF degree credits",Higher education,credit,NOT DEFINED IN NOTIONAL HOURS,n/a,CMEC Ministerial Statement 2007 (CDQF),partly (endorsed framework),confirmed,CDQF,2026-08-21,"A bachelor's is 'normally 90-120 credits, or the equivalent'. The CDQF does NOT define a credit in notional hours. Absence confirmed in the document read."
Canada,"CDQF semesters",Higher education,semester,n/a,n/a,CDQF,yes,confirmed,CDQF,2026-08-21,"The CDQF's PRIMARY duration unit: bachelor's 'six to eight semesters or more'; master's 'two to six semesters'; doctoral 'three to six years'. REASON IN SEMESTERS AND YEARS."
United Kingdom,"CATS",Higher education,credit / credit point,10,120 (for a 360-credit 3-year degree),"UK ENIC Guide to the Education Systems of the UK (2023)",no (sector scheme),confirmed,UK ENIC,2026-08-21,"'the national Credit Accumulation and Transfer Scheme (CATS) is used by many higher education institutions'. 1 credit = 10 hours of notional learning time."
United Kingdom,"SCQF credit points",All (Scotland),SCQF credit point,10,120 (for a 480-credit 4-year Honours degree),UK ENIC Guide (2023); SCQF,yes (framework),confirmed,UK ENIC; SCQF,2026-08-21,"'the time spent on all activities that contribute to the achievement of the learning outcomes... includes those that take place before and after delivery as well as the actual delivery itself.' National 5 and Higher courses = 24 points; Advanced Higher = 32."
United Kingdom,"ECTS (referenced)",Higher education,ECTS credit,25-30,60,UK ENIC Guide (2023),n/a (European),confirmed,UK ENIC,2026-08-21,"'widely referred to by UK higher education institutions in transcripts where the European Diploma Supplement or Higher Education Achievement Report (HEAR) is produced'."
United Kingdom,"TQT (Total Qualification Time)",RQF (England and NI),TQT hours,n/a,n/a,RQF,yes,confirmed,UK ENIC,2026-08-21,"The RQF's size measure - 'encompasses both taught hours and self-study'."
United States,"Federal credit hour",Higher education,semester/trimester credit hour,~45 (1 hr instruction + 2 hrs out-of-class x ~15 weeks),~30 (120 credits over 4 years),34 CFR 600.2,YES (FEDERAL REGULATION),confirmed,34 CFR 600.2,2026-08-21,"'One hour of classroom or direct faculty instruction and a minimum of two hours of out-of-class student work each week for approximately fifteen weeks for one semester or trimester hour of credit'. Institutionally defined, as approved by the accrediting agency or State approval agency."
United States,"Federal credit hour (quarter)",Higher education,quarter credit hour,~30 (3 hrs/week x 10-12 weeks),~45,34 CFR 600.2,YES,confirmed,34 CFR 600.2,2026-08-21,"'ten to twelve weeks for one quarter hour of credit'. Reported conversion: 1 semester hour = 1.5 quarter hours."
United States,"Carnegie unit (high school)",Secondary,Carnegie unit / credit,not verified,varies (13-40 for a diploma across states),State/district,yes (state),warn,secondary sources,2026-08-21,"A DIFFERENT unit from a college credit hour. High school 'credits' are Carnegie-unit based."
CROSS-COUNTRY,"Comparison warning",All,n/a,"US ~45; Bangladesh 40/60/80; India 30; ECTS 25-30; UK CATS/SCQF 10",n/a,This research,n/a,confirmed,§8.4 of the US document,2026-08-21,"NEVER compare raw credit counts across countries. A US 120-credit bachelor's, a UK 360-credit bachelor's and an Indian 120-credit bachelor's are all legitimate first degrees with non-comparable credit numbers. Reason in YEARS OF FULL-TIME STUDY or NOTIONAL HOURS, state the assumption, and defer the formal judgement to the destination institution or a recognised evaluator."
