country,region_scope,education_level,system_name,scale_type,scale_max,scale_min,grade_label,grade_point,marks_range,interpretation,pass_threshold,set_by,verification,source,research_date,notes
Nepal,National,School (pre-2016),SLC / HSEB percentage + Division,percentage + division,100,0,Third Division,,>=32-35% (conventional),Third Division,,OCE/HSEB,unresolved,,2026-08-21,Boundaries NOT verified.
Nepal,Institution-specific,Higher education,Tribhuvan University semester GPA,letter + GPA,4.0,0.0,A,4.0,90-100,,,Tribhuvan University,warn,secondary sources (TU grading policy PDF returned HTTP 404),2026-08-21,"US-STYLE steps (4.0/3.7/3.3) - structurally DIFFERENT from the NEB school scale. Reported pass 50% = 2.7 per paper."
Nepal,Institution-specific,Higher education,Tribhuvan University semester GPA,letter + GPA,4.0,0.0,A-,3.7,80-89,,,Tribhuvan University,warn,secondary sources,2026-08-21,
Nepal,Institution-specific,Higher education,Tribhuvan University semester GPA,letter + GPA,4.0,0.0,B+,3.3,70-79,,,Tribhuvan University,warn,secondary sources,2026-08-21,
Nepal,Institution-specific,Higher education,Tribhuvan University semester GPA,letter + GPA,4.0,0.0,B,3.0,60-69,,,Tribhuvan University,warn,secondary sources,2026-08-21,
Nepal,Institution-specific,Higher education,Tribhuvan University semester GPA,letter + GPA,4.0,0.0,B-,2.7,55-59,,50% (2.7) reported as the external-exam pass,Tribhuvan University,warn,secondary sources,2026-08-21,
Nepal,Institution-specific,Higher education,Tribhuvan University semester GPA,letter + GPA,4.0,0.0,C+,2.3,50-54,,,Tribhuvan University,warn,secondary sources,2026-08-21,
Nepal,Institution-specific,Higher education,Tribhuvan University semester GPA,letter + GPA,4.0,0.0,C,2.0,45-49,,,Tribhuvan University,warn,secondary sources,2026-08-21,
Nepal,Institution-specific,Higher education,Tribhuvan University semester GPA,letter + GPA,4.0,0.0,D,1.7,40-44,,,Tribhuvan University,warn,secondary sources,2026-08-21,
Nepal,Institution-specific,Higher education,Tribhuvan University semester GPA,letter + GPA,4.0,0.0,F,0.0,below 40,Fail,,Tribhuvan University,warn,secondary sources,2026-08-21,
India,National (UGC recommended),Higher education,UGC/NHEQF 10-point letter scale,letter + grade point,10,0,O (Outstanding),10,,Outstanding,,"University or autonomous college sets the pass mark",confirmed,UGC NHEQF Table 12,2026-08-21,"NHEQF: 'The universities or the autonomous colleges can decide on the grade or percentage of marks required to pass in a course and the CGPA required to qualify'."
India,National (UGC recommended),Higher education,UGC/NHEQF 10-point letter scale,letter + grade point,10,0,A+ (Excellent),9,,Excellent,,Institution,confirmed,UGC NHEQF Table 12,2026-08-21,
India,National (UGC recommended),Higher education,UGC/NHEQF 10-point letter scale,letter + grade point,10,0,A (Very good),8,,Very good,,Institution,confirmed,UGC NHEQF Table 12,2026-08-21,
India,National (UGC recommended),Higher education,UGC/NHEQF 10-point letter scale,letter + grade point,10,0,B+ (Good),7,,Good,,Institution,confirmed,UGC NHEQF Table 12,2026-08-21,
India,National (UGC recommended),Higher education,UGC/NHEQF 10-point letter scale,letter + grade point,10,0,B (Above average),6,,Above average,,Institution,confirmed,UGC NHEQF Table 12,2026-08-21,
India,National (UGC recommended),Higher education,UGC/NHEQF 10-point letter scale,letter + grade point,10,0,C (Average),5,,Average,,Institution,confirmed,UGC NHEQF Table 12,2026-08-21,
India,National (UGC recommended),Higher education,UGC/NHEQF 10-point letter scale,letter + grade point,10,0,P (Pass),4,,Pass,,Institution,confirmed,UGC NHEQF Table 12,2026-08-21,
India,National (UGC recommended),Higher education,UGC/NHEQF 10-point letter scale,letter + grade point,10,0,F (Fail),0,,Fail,,Institution,confirmed,UGC NHEQF Table 12,2026-08-21,
India,National (UGC recommended),Higher education,UGC/NHEQF 10-point letter scale,letter + grade point,10,0,Ab (Absent),0,,Absent,,Institution,confirmed,UGC NHEQF Table 12,2026-08-21,"Non-credit courses show 'Satisfactory'/'Unsatisfactory' instead and are excluded from SGPA/CGPA."
India,Institution-specific,Higher education,Percentage + Class/Division,percentage + classification,100,0,First Class with Distinction,,institution-specific,Highest band,institution-specific,Institution,warn,Existing Globaly KB,2026-08-21,"CRITICAL: boundaries are institution-specific. NEVER apply one CGPA-to-percentage formula nationally."
India,Institution-specific,Higher education,Percentage + Class/Division,percentage + classification,100,0,First Class / First Division,,institution-specific,,institution-specific,Institution,warn,Existing Globaly KB,2026-08-21,
India,Institution-specific,Higher education,Percentage + Class/Division,percentage + classification,100,0,Second Class / Second Division,,institution-specific,,institution-specific,Institution,warn,Existing Globaly KB,2026-08-21,
India,Institution-specific,Higher education,Percentage + Class/Division,percentage + classification,100,0,Third Class / Pass Class,,institution-specific,,institution-specific,Institution,warn,Existing Globaly KB,2026-08-21,
India,CBSE,Class 10 and Class 12,CBSE 9-point positional grading,positional letter grade,A-1,E,A-1 (top 1/8th of passed candidates) down to D-2 (lowest 1/8th); E = failed,,"POSITIONAL - rank order among PASSED candidates, in eight equal segments",Rank position,33% per subject; separate 33% theory and practical; 33% aggregate,CBSE,confirmed,"CBSE official: Grading System in CBSE For 10th and 12th; Scheme of Examinations and Pass Criteria",2026-08-21,"SUPERSEDED ROW - CORRECTED 2026-08-21. The earlier version of this row recorded an unresolved conflict and hypothesised that Class 10 used absolute bands. That hypothesis was WRONG: CBSE official documents apply positional grading to BOTH Class 10 and Class 12. Grade labels are A-1..D-2 plus a single E (not E1/E2). Do NOT convert a CBSE letter grade to a percentage - use the marks. See the detailed per-grade rows below."
India,CBSE,Class 10 (~2011-2017 era),CBSE CGPA,CGPA,10,0,,,,,,CBSE,confirmed,Existing Globaly KB,2026-08-21,"CBSE published an OFFICIAL x 9.5 conversion to percentage for this era. The ONLY official Indian conversion found in this research."
India,CISCE,ICSE (Class 10),CISCE grade points,numeric grade,1,9,1 (highest) to 9 (lowest),,,"1 is BEST; 8-9 are fail","33% in theory and internal assessment (one source); 35 out of 100 per subject (another)",CISCE,warn,secondary sources (CONFLICTING on pass marks),2026-08-21,"INVERTED DIRECTION: 1 is the best grade. Misreading a '1' as poor would be a serious error."
India,CISCE,ISC (Class 12),CISCE grade points,numeric grade,1,9,1 (highest) to 9 (lowest),,,"1-7 pass; 8-9 fail","40% in each subject; 35% aggregate",CISCE,warn,secondary sources,2026-08-21,"Note ICSE and ISC appear to use DIFFERENT pass thresholds."
India,~30 state boards,Class 10 and 12,Percentage marks,percentage,100,0,,,,,commonly ~33-35%,Each state board,unresolved,,2026-08-21,"LARGEST INDIA GAP: a board-by-board grading and pass-criteria matrix does not exist in this research. Marking severity differs materially between boards."
Bangladesh,National (all boards),SSC / HSC / Dakhil / Alim,Bangladesh GPA 5.00 scale,letter + GPA,5.00,0.00,A+,5.00,80-100,,,Education boards,warn,secondary sources (only the A+ band corroborated),2026-08-21,"DEFINING TRAP: school GPA is on a 5.00 scale, while university CGPA is typically on 4.00."
Bangladesh,National (all boards),SSC / HSC / Dakhil / Alim,Bangladesh GPA 5.00 scale,letter + GPA,5.00,0.00,A,4.00,,,,Education boards,warn,secondary sources,2026-08-21,"Mark band NOT verified."
Bangladesh,National (all boards),SSC / HSC / Dakhil / Alim,Bangladesh GPA 5.00 scale,letter + GPA,5.00,0.00,A-,3.50,,,,Education boards,warn,secondary sources,2026-08-21,"Mark band NOT verified. Note the irregular step (3.50)."
Bangladesh,National (all boards),SSC / HSC / Dakhil / Alim,Bangladesh GPA 5.00 scale,letter + GPA,5.00,0.00,B,3.00,,,,Education boards,warn,secondary sources,2026-08-21,Mark band NOT verified.
Bangladesh,National (all boards),SSC / HSC / Dakhil / Alim,Bangladesh GPA 5.00 scale,letter + GPA,5.00,0.00,C,2.00,,,,Education boards,warn,secondary sources,2026-08-21,Mark band NOT verified.
Bangladesh,National (all boards),SSC / HSC / Dakhil / Alim,Bangladesh GPA 5.00 scale,letter + GPA,5.00,0.00,D,1.00,,,,Education boards,warn,secondary sources,2026-08-21,Mark band NOT verified.
Bangladesh,National (all boards),SSC / HSC / Dakhil / Alim,Bangladesh GPA 5.00 scale,letter + GPA,5.00,0.00,F,0.00,,Fail,,Education boards,warn,secondary sources,2026-08-21,Mark band NOT verified.
Bangladesh,National (all boards),SSC / HSC,4th subject rule,GPA adjustment,,,"Optional 4th subject contributes (its grade point - 2.0), never below zero",,,"A+ adds 3.0; A adds 2.0; B adds 1.0; C or below adds 0",,Education boards,warn,"secondary sources; corroborated by the GST admission criteria wording 'including the fourth subject'",2026-08-21,"UNIQUE TO BANGLADESH. A reported GPA CANNOT be reverse-engineered from subject grades. PRIORITY GAP: obtain the official computation rule."
Bangladesh,National (UGC),Higher education,University CGPA,CGPA,4.00,0.00,,,,,40% (grade D) per the UGC scheme,UGC Bangladesh; institution applies,confirmed,UGC Uniform Grading Scheme from session 2006-2007,2026-08-21,"SUPERSEDED ROW - CORRECTED 2026-08-21. Previously recorded as institution-specific with no national scheme (PRIORITY GAP). Bangladesh DOES have a national HE grading scheme: the UGC Uniform Grading Scheme, 4.00 scale, applying to all public and private universities from session 2006-2007. See the detailed UGC per-grade rows below. The BNQF specifies credit minima only; the grading scheme comes from the UGC separately."
Bangladesh,Institution-specific,Higher education (older/NU),Percentage + Class/Division,percentage + classification,100,0,First Class / Second Class,,institution-specific,,institution-specific,Institution,warn,,2026-08-21,
China (mainland),National convention,All levels,100-point scale,percentage,100,0,优秀 (Excellent),,90-100,Excellent,60,Institution,warn,secondary sources,2026-08-21,"'60 as the minimum passing score at ALMOST ALL Chinese universities' - a convention, not a mandate."
China (mainland),National convention,All levels,100-point scale,percentage,100,0,良好 (Good),,80-89,Good,60,Institution,warn,secondary sources,2026-08-21,
China (mainland),National convention,All levels,100-point scale,percentage,100,0,中等 (Average),,70-79,Average / Medium,60,Institution,warn,secondary sources,2026-08-21,
China (mainland),National convention,All levels,100-point scale,percentage,100,0,及格 (Pass),,60-69,Pass,60,Institution,warn,secondary sources,2026-08-21,
China (mainland),National convention,All levels,100-point scale,percentage,100,0,不及格 (Fail),,below 60,Fail,60,Institution,warn,secondary sources,2026-08-21,
China (mainland),Institution-specific,Higher education,University GPA,GPA,"4.0 (sometimes 5.0)",0,,,,,,Institution,warn,secondary sources,2026-08-21,"'The Ministry of Education does not mandate a single national GPA scale' - conversion boundaries vary by institution (some use 85% as the 'A' threshold, others 90%). Fudan, SJTU and Zhejiang each have their own tables. NO official percentage-to-GPA conversion exists."
China (mainland),Provincial,Gaokao,Gaokao score,examination score,750 (commonly),0,,,,"A provincially referenced examination score - NOT a percentage or a grade",provincial cut-off bands,Provincial examination authority,warn,secondary sources,2026-08-21,"Requires FOUR facts to interpret: province, year, subject model (3+3 / 3+1+2 / legacy), and score. MUST NOT be converted."
Australia,Institution-specific,Higher education,Five-band letter scale,letter,HD,F,HD (High Distinction),7 (on the 7-point GPA),"85-100 typical; but Monash and ANU set HD at 80",High Distinction,50 typical,Institution,warn,secondary sources; vocabulary confirmed in the existing Globaly KB,2026-08-21,"BOUNDARIES ARE INSTITUTION-SET, not national. Read the transcript's own scale."
Australia,Institution-specific,Higher education,Five-band letter scale,letter,HD,F,D (Distinction),6,75-84 typical (70-79 at Monash/ANU),Distinction,,Institution,warn,secondary sources,2026-08-21,
Australia,Institution-specific,Higher education,Five-band letter scale,letter,HD,F,C / CR (Credit),5,65-74 typical (60-69 at Monash/ANU),Credit,,Institution,warn,secondary sources,2026-08-21,
Australia,Institution-specific,Higher education,Five-band letter scale,letter,HD,F,P (Pass),4,50-64 typical (50-59 at Monash/ANU),Pass,50,Institution,warn,secondary sources,2026-08-21,
Australia,Institution-specific,Higher education,Five-band letter scale,letter,HD,F,F / N (Fail),0,below 50,Fail,,Institution,warn,secondary sources,2026-08-21,
Australia,Institution-specific,Higher education,7-point GPA,GPA,7.0,0.0,,,,"Credit-weighted: sum(grade points x credit points) / total credit points",,Institution,warn,secondary sources,2026-08-21,"NOT a 4.0 scale. An Australian 'GPA 6.2' is a strong result out of 7."
Australia,Institution-specific,Higher education,WAM (Weighted Average Mark),percentage,100,0,,,,"sum(percentage mark x credit points) / total credit points",,Institution,warn,secondary sources,2026-08-21,"DISTINCT from GPA. Commonly used for Honours admission and scholarship ranking."
Australia,National,Senior secondary to tertiary,ATAR,percentile rank,99.95,0.00,,,,"A RANK, not a mark or score - the holder's percentile position in the age cohort",,Tertiary admissions centres,confirmed,"UAC; TISC; SATAC",2026-08-21,"'An ATAR of 70 doesn't mean you got 70 percent - it means that you're in the top 30 percent.' Subject marks are SCALED before aggregation. Admission uses the SELECTION RANK = ATAR + adjustments. MUST NOT be converted."
Australia,National,VET,Competency-based assessment,competency,Competent,Not Yet Competent,Competent / Not Yet Competent,,,,,RTO under ASQA standards,warn,secondary sources,2026-08-21,"Australian VET is NOT normally graded. Do not ask a VET graduate for a GPA."
Canada,Institution-specific,Higher education,GPA (multiple scales),GPA,"4.0 / 4.3 / 4.33 / 9-point / 12-point / percentage",0,,,,,,Institution,warn,secondary sources,2026-08-21,"NO national scale. Ontario predominantly 4.0; Alberta 4.0 or 4.33; Quebec French-language universities percentage or 4.3; Queen's 4.3; York 9-point; McMaster and Carleton 12-point. ALWAYS ask the maximum."
Canada,Québec,CEGEP to university,Cote R / R-score,statistically adjusted measure,,,,,,"Québec's CEGEP-based university admission measure - NOT a GPA or a percentage",,Québec universities,unresolved,,2026-08-21,"PRIORITY GAP: not researched. It is Québec's actual admission metric."
Canada,Provincial,Secondary,Provincial secondary grading,percentage / letter,,,,,,,,Provincial ministry,unresolved,,2026-08-21,"PRIORITY GAP: secondary grading conventions per jurisdiction not researched."
United Kingdom,England,GCSE,GCSE 9-1,numeric grade,9,1,9 (highest) to 1 (lowest); U unclassified,,,"Grade DETERMINES the RQF level: 9-4 = RQF 2; 3-1 = RQF 1","A grade of C or 4 is 'a good pass'",Ofqual,confirmed,UK ENIC Guide (2023),2026-08-21,"Introduced 2017 (English/maths), all subjects by 2019. DO NOT treat 9 as equal to A* - the numeric scale has more pass grades and a more selective top grade."
United Kingdom,"Wales; England and NI until 2019",GCSE,GCSE A*-G,letter grade,A*,G,A* (highest) to G (lowest); U unclassified,,,"A*-C = RQF 2; D-G = RQF 1","C is 'a good pass'","Qualifications Wales; CCEA Regulation; (Ofqual pre-2019)",confirmed,UK ENIC Guide (2023),2026-08-21,"A* first awarded in 1994."
United Kingdom,Northern Ireland,GCSE,CCEA A*-G with C*,letter grade,A*,G,"A*, A, B, C*, C, D, E, F, G, U",,,"C* sits BETWEEN C and B",,CCEA Regulation,confirmed,UK ENIC Guide (2023),2026-08-21,"C* introduced in 2019 'to align more closely with the 9-1 grading scale used in England'. NORTHERN IRELAND ONLY."
United Kingdom,UK,Bachelor Degree with Honours,Honours classification,classification,First class,Third class,"First class (1st); upper second class honours (2.1); lower second class honours (2.2); third class (3rd)",,,,,Institution,confirmed,UK ENIC Guide (2023),2026-08-21,"Percentage boundaries are institution-set and were NOT captured in this research."
United Kingdom,UK,Bachelor (Ordinary) degree,Pass/fail,pass/fail,Pass,Fail,Pass / fail,,,"NO CLASSIFICATION",,Institution,confirmed,UK ENIC Guide (2023),2026-08-21,"If a UK graduate cannot state a classification, they may hold an Ordinary/Pass degree."
United Kingdom,Wales,Welsh Baccalaureate,Skills Challenge Certificate,letter grade,A*,"C (National) / E (Advanced)","National SCC: A*-C; Advanced SCC: A*-E",,,,,WJEC / Qualifications Wales,warn,secondary sources,2026-08-21,"National WBQ requires all five Supporting Qualifications at A*-C; Foundation at A*-G."
United States,Institution-specific,All levels,Unweighted 4.0 GPA,GPA,4.0,0.0,A,4.0,institution-specific,,institution-specific,Institution,warn,secondary sources,2026-08-21,"'with small variations by school'. There is NO national US grading scale."
United States,Institution-specific,All levels,Unweighted 4.0 GPA,GPA,4.0,0.0,A-,3.7,,,,Institution,warn,secondary sources,2026-08-21,
United States,Institution-specific,All levels,Unweighted 4.0 GPA,GPA,4.0,0.0,B+,3.3,,,,Institution,warn,secondary sources,2026-08-21,
United States,Institution-specific,All levels,Unweighted 4.0 GPA,GPA,4.0,0.0,B,3.0,,,,Institution,warn,secondary sources,2026-08-21,
United States,Institution-specific,All levels,Unweighted 4.0 GPA,GPA,4.0,0.0,B-,2.7,,,,Institution,warn,secondary sources,2026-08-21,
United States,Institution-specific,All levels,Unweighted 4.0 GPA,GPA,4.0,0.0,C,2.0,,,,Institution,warn,secondary sources,2026-08-21,
United States,Institution-specific,All levels,Unweighted 4.0 GPA,GPA,4.0,0.0,D,1.0,,,,Institution,warn,secondary sources,2026-08-21,
United States,Institution-specific,All levels,Unweighted 4.0 GPA,GPA,4.0,0.0,F,0.0,,Fail,,Institution,warn,secondary sources,2026-08-21,
United States,District-specific,High school,Weighted GPA,GPA,"can exceed 4.0",0.0,,,,"Bonus points for advanced classes: typically +0.5 for Honors and +1.0 for AP or IB",,School district,warn,secondary sources,2026-08-21,"CRITICAL: 'College registrars report the unweighted GPA on official transcripts. Colleges typically recalculate weighted GPAs back to unweighted... because bonus-point rules differ across school districts.' A GPA above 4.0 is a high-school weighted figure."
United States,Institution-specific,Undergraduate,Latin honours,classification,summa cum laude,cum laude,"cum laude ('with honor') ~3.5-3.7; magna cum laude ('with great honor') ~3.7-3.9; summa cum laude ('with highest honor') ~3.9+",,,,,Institution,warn,secondary sources,2026-08-21,"'The ranges of GPAs that correspond with which category differ from institution to institution... a 3.79 GPA may qualify as cum laude at one college and no honor at another.' Some institutions use class-rank percentile instead."
India,CBSE,Class 10 and Class 12,CBSE positional grading (nine-point),positional rank,A-1,E,A-1,,Top 1/8th of the passed candidates,"POSITIONAL - rank order among PASSED candidates, in eight equal segments",33% per subject; separate 33% theory and practical; 33% aggregate,CBSE,confirmed,"CBSE Grading System in CBSE For 10th and 12th (cbse.gov.in) + CBSE Scheme of Examinations and Pass Criteria",2026-08-21,"RESOLVED 2026-08-21. Applies to BOTH 10th and 12th. Grades are DERIVED FROM SCORES but assigned by rank. The A1=91-100 absolute-band claim is WRONG for external examination subjects."
India,CBSE,Class 10 and Class 12,CBSE positional grading (nine-point),positional rank,A-1,E,A-2,,Next 1/8th of the passed candidates,,,CBSE,confirmed,CBSE official,2026-08-21,
India,CBSE,Class 10 and Class 12,CBSE positional grading (nine-point),positional rank,A-1,E,B-1,,Next 1/8th of the passed candidates,,,CBSE,confirmed,CBSE official,2026-08-21,
India,CBSE,Class 10 and Class 12,CBSE positional grading (nine-point),positional rank,A-1,E,B-2,,Next 1/8th of the passed candidates,,,CBSE,confirmed,CBSE official,2026-08-21,
India,CBSE,Class 10 and Class 12,CBSE positional grading (nine-point),positional rank,A-1,E,C-1,,Next 1/8th of the passed candidates,,,CBSE,confirmed,CBSE official,2026-08-21,
India,CBSE,Class 10 and Class 12,CBSE positional grading (nine-point),positional rank,A-1,E,C-2,,Next 1/8th of the passed candidates,,,CBSE,confirmed,CBSE official,2026-08-21,
India,CBSE,Class 10 and Class 12,CBSE positional grading (nine-point),positional rank,A-1,E,D-1,,Next 1/8th of the passed candidates,,,CBSE,confirmed,CBSE official,2026-08-21,
India,CBSE,Class 10 and Class 12,CBSE positional grading (nine-point),positional rank,A-1,E,D-2,,Next 1/8th of the passed candidates,,,CBSE,confirmed,CBSE official,2026-08-21,
India,CBSE,Class 10 and Class 12,CBSE positional grading (nine-point),positional rank,A-1,E,E,,Failed candidates,,,CBSE,confirmed,CBSE official,2026-08-21,"A SINGLE E grade - the E1/E2 claim in secondary sources is wrong."
India,CBSE,Internal assessment subjects,CBSE five-point scale,letter,A,E,A; B; C; D; E,,,A DIFFERENT scale from the nine-point external scale,,CBSE,confirmed,CBSE Scheme of Examinations,2026-08-21,
India,Maharashtra (MSBSHSE),HSC (Class 12),Percentage with Division bands,percentage + division,100,0,Distinction,,75 and above,Distinction,35% in each subject (theory and practical) AND in aggregate,Maharashtra board,warn,secondary sources,2026-08-21,"Practicals: 7/20 or 10.5/30 to pass."
India,Maharashtra (MSBSHSE),HSC (Class 12),Percentage with Division bands,percentage + division,100,0,First Division,,60-74,,35%,Maharashtra board,warn,secondary sources,2026-08-21,
India,Maharashtra (MSBSHSE),HSC (Class 12),Percentage with Division bands,percentage + division,100,0,Second Division,,45-59,,35%,Maharashtra board,warn,secondary sources,2026-08-21,
India,Maharashtra (MSBSHSE),HSC (Class 12),Percentage with Division bands,percentage + division,100,0,Pass,,35-44,,35%,Maharashtra board,warn,secondary sources,2026-08-21,
India,Uttar Pradesh (UPMSP),Intermediate (Class 12),UP Board grading,letter,A1,E2,A1 to E2 (theory); A to E (practicals),,,,33% in each subject,UPMSP,warn,secondary sources,2026-08-21,
India,West Bengal (WBCHSE),HS (Class 12),WBCHSE grading,letter,AA,D,AA,,90-100,Highest grade,30% in each subject,WBCHSE,warn,secondary sources,2026-08-21,"NOTE: West Bengal pass mark (30%) is LOWER than CBSE/UP (33%) and Maharashtra/Tamil Nadu (35%)."
India,West Bengal (WBCHSE),HS (Class 12),WBCHSE grading,letter,AA,D,A+,,75-89,,30%,WBCHSE,warn,secondary sources,2026-08-21,
India,West Bengal (WBCHSE),HS (Class 12),WBCHSE grading,letter,AA,D,A,,60-74,,30%,WBCHSE,warn,secondary sources,2026-08-21,
India,West Bengal (WBCHSE),HS (Class 12),WBCHSE grading,letter,AA,D,B+,,50-59,,30%,WBCHSE,warn,secondary sources,2026-08-21,
India,West Bengal (WBCHSE),HS (Class 12),WBCHSE grading,letter,AA,D,B,,40-49,,30%,WBCHSE,warn,secondary sources,2026-08-21,
India,West Bengal (WBCHSE),HS (Class 12),WBCHSE grading,letter,AA,D,C,,30-39,,30%,WBCHSE,warn,secondary sources,2026-08-21,
India,West Bengal (WBCHSE),HS (Class 12),WBCHSE grading,letter,AA,D,D,,below 30,Lowest grade,30%,WBCHSE,warn,secondary sources,2026-08-21,
India,Tamil Nadu (DGE),HSC (Class 12),Tamil Nadu grading,letter,A1,E,A1,,91-100,,35 marks in each subject,DGE Tamil Nadu,warn,secondary sources,2026-08-21,"WARNING: A1 here means 91-100 MARKS - completely different from the CBSE positional A-1."
India,Tamil Nadu (DGE),HSC (Class 12),Tamil Nadu grading,letter,A1,E,A2,,81-90,,35,DGE Tamil Nadu,warn,secondary sources,2026-08-21,
India,Tamil Nadu (DGE),HSC (Class 12),Tamil Nadu grading,letter,A1,E,B1,,71-80,,35,DGE Tamil Nadu,warn,secondary sources,2026-08-21,
India,Tamil Nadu (DGE),HSC (Class 12),Tamil Nadu grading,letter,A1,E,B2,,61-70,,35,DGE Tamil Nadu,warn,secondary sources,2026-08-21,
India,Tamil Nadu (DGE),HSC (Class 12),Tamil Nadu grading,letter,A1,E,C1,,51-60,,35,DGE Tamil Nadu,warn,secondary sources,2026-08-21,
India,Tamil Nadu (DGE),HSC (Class 12),Tamil Nadu grading,letter,A1,E,C2,,41-50,,35,DGE Tamil Nadu,warn,secondary sources,2026-08-21,
India,Tamil Nadu (DGE),HSC (Class 12),Tamil Nadu grading,letter,A1,E,D,,35-40,,35,DGE Tamil Nadu,warn,secondary sources,2026-08-21,
India,Tamil Nadu (DGE),HSC (Class 12),Tamil Nadu grading,letter,A1,E,E,,21-34,Fail,35,DGE Tamil Nadu,warn,secondary sources,2026-08-21,
India,Karnataka (DPUE),2nd PUC (Class 12),Karnataka nine-grade scale,letter,A1,F,A1; A2; B1; B2; C1; C2; D1; D2; F,,,Distinction at 75% and above,30% per subject AND 33% aggregate,DPUE Karnataka,warn,secondary sources,2026-08-21,"Note the split requirement: 30% per subject but 33% aggregate."
Bangladesh,National (all boards),SSC / HSC / Dakhil / Alim,Bangladesh GPA 5.00 scale (bands),letter + GPA,5.00,0.00,A+,5.00,80 and above,,33% (grade D),Education boards,warn,multiple sources incl. Scholaro credential database,2026-08-21,"RESOLVED 2026-08-21: full mark bands now attested."
Bangladesh,National (all boards),SSC / HSC / Dakhil / Alim,Bangladesh GPA 5.00 scale (bands),letter + GPA,5.00,0.00,A,4.00,70-79,,33%,Education boards,warn,multiple sources,2026-08-21,
Bangladesh,National (all boards),SSC / HSC / Dakhil / Alim,Bangladesh GPA 5.00 scale (bands),letter + GPA,5.00,0.00,A-,3.50,60-69,,33%,Education boards,warn,multiple sources,2026-08-21,
Bangladesh,National (all boards),SSC / HSC / Dakhil / Alim,Bangladesh GPA 5.00 scale (bands),letter + GPA,5.00,0.00,B,3.00,50-59,,33%,Education boards,warn,multiple sources,2026-08-21,"NOTE: there is NO B+ grade. Seven grades total."
Bangladesh,National (all boards),SSC / HSC / Dakhil / Alim,Bangladesh GPA 5.00 scale (bands),letter + GPA,5.00,0.00,C,2.00,40-49,,33%,Education boards,warn,multiple sources,2026-08-21,"Note the full 1.00-point gap between B (3.00) and C (2.00)."
Bangladesh,National (all boards),SSC / HSC / Dakhil / Alim,Bangladesh GPA 5.00 scale (bands),letter + GPA,5.00,0.00,D,1.00,33-39,Pass threshold,33%,Education boards,warn,multiple sources,2026-08-21,
Bangladesh,National (all boards),SSC / HSC / Dakhil / Alim,Bangladesh GPA 5.00 scale (bands),letter + GPA,5.00,0.00,F,0.00,below 33,Fail,,Education boards,warn,multiple sources,2026-08-21,
Bangladesh,National (UGC),Higher education,UGC Uniform Grading Scheme,letter + GPA,4.00,0.00,A+,4.00,80 and above,,40% (grade D),UGC Bangladesh,confirmed,UGC Uniform Grading Scheme (from session 2006-2007) via University of Rajshahi OIA,2026-08-21,"RESOLVED 2026-08-21: Bangladesh DOES have a national HE grading scheme. Regular 0.25 steps. CAVEAT: a 2022 UGC attempt at a single system could not be enforced."
